class,precision,recall,f1,specificity,support
Low,0.38095238095238093,0.20869565217391303,0.2696629213483146,0.8987012987012987,115
Medium,0.17582417582417584,0.4507042253521127,0.25296442687747034,0.6503496503496503,71
High,0.4044943820224719,0.4161849710982659,0.41025641025641024,0.6758409785932722,173
Severe,0.5324675324675324,0.2907801418439716,0.3761467889908257,0.8997214484679665,141
