class,precision,recall,f1,specificity,support
Low,0.3410696266397578,0.41676942046855736,0.3751387347391787,0.7436199450333726,1622
Medium,0.17159763313609466,0.030145530145530147,0.05128205128205128,0.975669099756691,962
High,0.41240694789081883,0.35331632653061223,0.38058163498969544,0.7286892758936755,2352
Severe,0.32588235294117646,0.46685393258426966,0.38383371824480367,0.651742301458671,1780
